param_val,param_names
0.9227374656256451,smoothing_level
0.005556399203448829,smoothing_trend
0.07725480812091749,smoothing_seasonal
65.91523950392691,initial_level
-18.64511846616753,initial_trend
2.5883778034423917,initial_seasonal.0
3.1393242787090623,initial_seasonal.1
5.063251591382316,initial_seasonal.2
2.9300158555001223,initial_seasonal.3
12.164339893345483,initial_seasonal.4
35.85605965655615,initial_seasonal.5
37.113547597819164,initial_seasonal.6
43.72428456182474,initial_seasonal.7
34.671273148454674,initial_seasonal.8
35.57294602880626,initial_seasonal.9
32.62209059028139,initial_seasonal.10
37.97527689845452,initial_seasonal.11
59.11576068857277,initial_seasonal.12
66.43634814785761,initial_seasonal.13
66.39799163253556,initial_seasonal.14
56.10683806015857,initial_seasonal.15
40.33480084484964,initial_seasonal.16
-11.033524235455298,initial_seasonal.17
-57.414783963546505,initial_seasonal.18
-59.65382015011283,initial_seasonal.19
-45.679049255550154,initial_seasonal.20
-36.33293101620863,initial_seasonal.21
-31.71630749640062,initial_seasonal.22
-23.369574635216015,initial_seasonal.23
-17.717127035175672,initial_seasonal.24
-23.425251087685474,initial_seasonal.25
-17.388223212381497,initial_seasonal.26
19.575275834972356,initial_seasonal.27
26.97831076999834,initial_seasonal.28
18.021468211638386,initial_seasonal.29
7.283248679696366,initial_seasonal.30
15.433111508889972,initial_seasonal.31
24.45676112613901,initial_seasonal.32
25.29603993904102,initial_seasonal.33
31.614594258716302,initial_seasonal.34
50.69138218512492,initial_seasonal.35
62.919918461385386,initial_seasonal.36
72.88244399988692,initial_seasonal.37
66.41496413074654,initial_seasonal.38
52.09433608241467,initial_seasonal.39
40.47171548769036,initial_seasonal.40
-5.975769979957012,initial_seasonal.41
-49.12916100734842,initial_seasonal.42
-41.95952005076049,initial_seasonal.43
-30.787319570931768,initial_seasonal.44
-16.897789263288196,initial_seasonal.45
-6.733857983126877,initial_seasonal.46
-5.946555263323399,initial_seasonal.47
18.738591203169307,initial_seasonal.48
57.689541772424036,initial_seasonal.49
77.7657690618914,initial_seasonal.50
82.89784448866186,initial_seasonal.51
79.03930340304656,initial_seasonal.52
62.61017693953148,initial_seasonal.53
68.55596888476424,initial_seasonal.54
90.43431106676637,initial_seasonal.55
121.66370038223445,initial_seasonal.56
141.64927329040373,initial_seasonal.57
170.14056981436102,initial_seasonal.58
170.55948813248776,initial_seasonal.59
178.05507219944352,initial_seasonal.60
183.9993023911244,initial_seasonal.61
184.7410984377003,initial_seasonal.62
161.01303083325772,initial_seasonal.63
143.67741095358375,initial_seasonal.64
92.36098940863349,initial_seasonal.65
39.64267972417964,initial_seasonal.66
45.79955055756288,initial_seasonal.67
46.309161608234696,initial_seasonal.68
48.89491793101249,initial_seasonal.69
54.62158196831067,initial_seasonal.70
45.799647646714,initial_seasonal.71
49.57833448477753,initial_seasonal.72
45.82039646236849,initial_seasonal.73
53.11004804287791,initial_seasonal.74
98.71198937893851,initial_seasonal.75
103.33284103593635,initial_seasonal.76
108.20438920967902,initial_seasonal.77
117.24164423421196,initial_seasonal.78
120.98605229052696,initial_seasonal.79
138.8921286446295,initial_seasonal.80
152.55759506638807,initial_seasonal.81
160.34950879199718,initial_seasonal.82
168.95806620855308,initial_seasonal.83
173.53622467803433,initial_seasonal.84
175.8408457986739,initial_seasonal.85
177.94646506682008,initial_seasonal.86
155.78702272956318,initial_seasonal.87
127.6175388483873,initial_seasonal.88
67.01067958080912,initial_seasonal.89
10.213094152422522,initial_seasonal.90
7.223024450791974,initial_seasonal.91
18.654972024044554,initial_seasonal.92
9.544312472892447,initial_seasonal.93
17.47228155785845,initial_seasonal.94
23.366134479724657,initial_seasonal.95
42.14966853835952,initial_seasonal.96
84.19962926650501,initial_seasonal.97
99.04075524689287,initial_seasonal.98
102.49139299616472,initial_seasonal.99
95.97737905465453,initial_seasonal.100
82.67248198366063,initial_seasonal.101
82.03212671456299,initial_seasonal.102
108.92855978296024,initial_seasonal.103
119.04203272668235,initial_seasonal.104
141.33261139070163,initial_seasonal.105
160.78715656182538,initial_seasonal.106
167.86372073076294,initial_seasonal.107
175.60832499827455,initial_seasonal.108
182.60314871773235,initial_seasonal.109
169.9684225721712,initial_seasonal.110
144.68752311395932,initial_seasonal.111
114.92113991847195,initial_seasonal.112
73.70134393765088,initial_seasonal.113
32.49737667033817,initial_seasonal.114
37.62403804671508,initial_seasonal.115
47.01663774497663,initial_seasonal.116
54.47027254675645,initial_seasonal.117
61.397343682491986,initial_seasonal.118
61.808621762800826,initial_seasonal.119
63.69234059650954,initial_seasonal.120
72.9070520706087,initial_seasonal.121
71.46374965962858,initial_seasonal.122
74.10348884987872,initial_seasonal.123
79.43358441561692,initial_seasonal.124
73.27914640938836,initial_seasonal.125
